Den, Čas, Město, Teplota, Pocitová teplota, Vlhkost
13.10.2023, 16:43, Blatná, 24.5 °C, 26 °C, 41 %
13.10.2023, 16:43, Branišov, 26 °C, 29 °C, 41 %
13.10.2023, 16:43, České Budějovice, 24.2 °C, 27 °C, 46 %
13.10.2023, 16:43, České Velenice, 25 °C, 26 °C, 40 %
13.10.2023, 16:43, Český Krumlov, 25 °C, 26 °C, 41 %
13.10.2023, 16:43, Dačice, 25 °C, 25 °C, 37 %
13.10.2023, 16:43, Jindřichův Hradec, 23 °C, 24 °C, 49 %
13.10.2023, 16:43, Majdalena, 26 °C, 26 °C, 40 %
13.10.2023, 16:43, Orlík nad Vltavou, 25.4 °C, 27 °C, 40 %
13.10.2023, 16:43, Písek, 25.6 °C, 27 °C, 36 %
13.10.2023, 16:43, Prachatice, 24.4 °C, 25 °C, 39 %
13.10.2023, 16:43, Putim, 25.6 °C, 27 °C, 36 %
13.10.2023, 16:43, Rožmberk nad Vltavou, 22.8 °C, 23 °C, 45 %
13.10.2023, 16:43, Strakonice, 25.8 °C, 28 °C, 41 %
13.10.2023, 16:43, Špičák, 19 °C, 20 °C, 42 %
13.10.2023, 16:43, Vrcovice, 25.6 °C, 27 °C, 36 %
13.10.2023, 16:43, Záhoří, 23 °C, 24 °C, 52 %
13.10.2023, 16:43, Zlatá Koruna, 26 °C, 28 °C, 41 %
13.10.2023, 16:43, Žabovřesky, 26 °C, 29 °C, 41 %
