pořadí,tým,z,v,p,úspěšnost,vstřeleno,obdrženo,rozdíl,doma,venku,DV,DP,DV(%),VV,VP,VV(%)
1.,BK Opava,6,6,0,100.0,561,476,85,2,4,2,0,100%,4,0,100%
2.,ERA Basketball Nymburk,7,5,2,71.4,661,471,190,4,3,3,1,75%,2,1,66.7%
3.,USK Praha,5,3,2,60.0,367,369,-2,3,2,2,1,66.7%,1,1,50%
4.,BK KVIS Pardubice,5,3,2,60.0,424,446,-22,3,2,2,1,66.7%,1,1,50%
5.,BC GEOSAN Kolín,7,4,3,57.1,552,547,5,5,2,3,2,60%,1,1,50%
6.,BK ARMEX Děčín,6,3,3,50.0,548,497,51,4,2,2,2,50%,1,1,50%
7.,SLUNETA Ústí nad Labem,6,3,3,50.0,546,510,36,3,3,1,2,33.3%,2,1,66.7%
8.,SK Slavia Praha,5,2,3,40.0,405,482,-77,3,2,2,1,66.7%,0,2,0%
9.,Sršni Photomate Písek,3,1,2,33.3,276,321,-45,1,2,0,1,0%,1,1,50%
10.,BK REDSTONE Olomoucko,6,2,4,33.3,477,545,-68,3,3,1,2,33.3%,1,2,33.3%
11.,Basket Brno,5,1,4,20.0,342,406,-64,0,5,0,0,0%,1,4,20%
12.,NH Ostrava,5,0,5,0.0,370,459,-89,2,3,0,2,0%,0,3,0%
