Den, Čas, Teplota, Pocitová teplota, Vlhkost
21.09.2023, 19:57, 20 °C, 23 °C, 78 %
21.09.2023, 19:57, 20 °C, 23 °C, 78 %
21.09.2023, 19:57, 20 °C, 23 °C, 78 %
21.09.2023, 19:57, 20 °C, 23 °C, 78 %
21.09.2023, 19:57, 20 °C, 23 °C, 78 %
21.09.2023, 19:57, 20 °C, 23 °C, 78 %
21.09.2023, 20:02, 20 °C, 23 °C, 78 %
21.09.2023, 20:07, 20 °C, 23 °C, 78 %
21.09.2023, 20:12, 18.9 °C, 22 °C, 83 %
21.09.2023, 20:17, 18.9 °C, 22 °C, 83 %
21.09.2023, 20:22, 18.9 °C, 22 °C, 83 %
21.09.2023, 20:27, 18.9 °C, 22 °C, 83 %
21.09.2023, 20:32, 18.9 °C, 22 °C, 83 %
21.09.2023, 20:37, 18.9 °C, 22 °C, 83 %
21.09.2023, 20:42, 18.2 °C, 21 °C, 86 %
21.09.2023, 20:47, 18.2 °C, 21 °C, 86 %
21.09.2023, 20:52, 18.2 °C, 21 °C, 86 %
21.09.2023, 20:57, 18.2 °C, 21 °C, 86 %
21.09.2023, 21:02, 18.2 °C, 21 °C, 86 %
21.09.2023, 21:07, 18.2 °C, 21 °C, 86 %
21.09.2023, 21:12, 17.3 °C, 20 °C, 88 %
21.09.2023, 21:17, 17.3 °C, 20 °C, 88 %
21.09.2023, 21:22, 17.3 °C, 20 °C, 88 %
21.09.2023, 21:27, 17.3 °C, 20 °C, 88 %
21.09.2023, 21:32, 17.3 °C, 20 °C, 88 %
21.09.2023, 21:37, 17.3 °C, 20 °C, 88 %
21.09.2023, 21:42, 16.9 °C, 20 °C, 89 %
21.09.2023, 21:47, 16.9 °C, 20 °C, 89 %
21.09.2023, 21:52, 16.9 °C, 20 °C, 89 %
21.09.2023, 21:57, 16.9 °C, 20 °C, 89 %
21.09.2023, 22:02, 16.9 °C, 20 °C, 89 %
21.09.2023, 22:07, 16.9 °C, 20 °C, 89 %
21.09.2023, 22:12, 15.9 °C, 18 °C, 92 %
21.09.2023, 22:17, 15.9 °C, 18 °C, 92 %
21.09.2023, 22:22, 15.9 °C, 18 °C, 92 %
21.09.2023, 22:27, 15.9 °C, 18 °C, 92 %
21.09.2023, 22:32, 15.9 °C, 18 °C, 92 %
21.09.2023, 22:37, 15.9 °C, 18 °C, 92 %
21.09.2023, 22:42, 15.3 °C, 18 °C, 95 %
21.09.2023, 22:47, 15.3 °C, 18 °C, 95 %
21.09.2023, 22:52, 15.3 °C, 18 °C, 95 %
21.09.2023, 22:57, 15.3 °C, 18 °C, 95 %
21.09.2023, 23:02, 15.3 °C, 18 °C, 95 %
22.09.2023, 11:46, 15.6 °C, 17 °C, 88 %
22.09.2023, 11:51, 15.6 °C, 17 °C, 88 %
22.09.2023, 11:56, 15.6 °C, 17 °C, 88 %
22.09.2023, 12:01, 15.6 °C, 17 °C, 88 %
22.09.2023, 12:06, 15.6 °C, 17 °C, 88 %
22.09.2023, 12:11, 15.3 °C, 17 °C, 89 %
22.09.2023, 12:16, 15.3 °C, 17 °C, 89 %
22.09.2023, 12:21, 15.3 °C, 17 °C, 89 %
22.09.2023, 12:26, 15.3 °C, 17 °C, 89 %
22.09.2023, 12:31, 15.3 °C, 17 °C, 89 %
22.09.2023, 12:36, 15.3 °C, 17 °C, 89 %
22.09.2023, 12:41, 15.6 °C, 17 °C, 86 %
22.09.2023, 12:46, 15.6 °C, 17 °C, 86 %
22.09.2023, 13:01, 15.6 °C, 17 °C, 86 %
22.09.2023, 13:16, 16.1 °C, 18 °C, 85 %
22.09.2023, 13:31, 16.1 °C, 18 °C, 85 %
22.09.2023, 13:46, 16.2 °C, 18 °C, 86 %
22.09.2023, 14:01, 16.2 °C, 18 °C, 86 %
22.09.2023, 14:16, 15.7 °C, 18 °C, 90 %
22.09.2023, 14:31, 15.7 °C, 18 °C, 90 %
22.09.2023, 14:46, 15.7 °C, 17 °C, 87 %
22.09.2023, 15:01, 15.7 °C, 17 °C, 87 %
22.09.2023, 15:16, 15.6 °C, 18 °C, 87 %
22.09.2023, 15:31, 15.6 °C, 18 °C, 87 %
22.09.2023, 15:46, 15 °C, 16 °C, 83 %
22.09.2023, 16:01, 15 °C, 16 °C, 83 %
22.09.2023, 16:16, 14.7 °C, 15 °C, 86 %
22.09.2023, 16:31, 14.7 °C, 15 °C, 86 %
22.09.2023, 16:46, 13.9 °C, 16 °C, 93 %
22.09.2023, 19:50, 12.5 °C, 14 °C, 98 %
22.09.2023, 20:01, 12.5 °C, 14 °C, 98 %
22.09.2023, 20:11, 12.3 °C, 14 °C, 98 %
22.09.2023, 20:17, 12.3 °C, 14 °C, 98 %
22.09.2023, 20:18, 12.3 °C, 14 °C, 98 %
22.09.2023, 20:19, 12.3 °C, 14 °C, 98 %
22.09.2023, 20:20, 12.3 °C, 14 °C, 98 %
