Den, Čas, Město, Teplota, Pocitová teplota, Vlhkost
16.10.2023, 22:12, Blatná, 0.3 °C, -1 °C, 97 %
16.10.2023, 22:12, Branišov, 1.8 °C, 1 °C, 90 %
16.10.2023, 22:12, České Budějovice, 5 °C, 4 °C, 78 %
16.10.2023, 22:12, České Velenice, 1 °C, -0 °C, 88 %
16.10.2023, 22:12, Český Krumlov, 1 °C, -0 °C, 90 %
16.10.2023, 22:12, Dačice, 1.7 °C, 1 °C, 89 %
16.10.2023, 22:12, Jindřichův Hradec, -0.3 °C, 0 °C, 94 %
16.10.2023, 22:12, Majdalena, 2 °C, 1 °C, 88 %
16.10.2023, 22:12, Orlík nad Vltavou, 1.2 °C, 0 °C, 90 %
16.10.2023, 22:12, Písek, 2.6 °C, 2 °C, 90 %
16.10.2023, 22:12, Prachatice, 2.3 °C, 1 °C, 82 %
16.10.2023, 22:12, Putim, 2.6 °C, 2 °C, 90 %
16.10.2023, 22:12, Rožmberk nad Vltavou, 1.1 °C, -1 °C, 85 %
16.10.2023, 22:12, Strakonice, 2.4 °C, 2 °C, 97 %
16.10.2023, 22:12, Špičák, -6 °C, -6 °C, 89 %
16.10.2023, 22:12, Vrcovice, 2.6 °C, 2 °C, 90 %
16.10.2023, 22:12, Záhoří, 2 °C, 1 °C, 77 %
16.10.2023, 22:12, Zlatá Koruna, 1.8 °C, 1 °C, 90 %
16.10.2023, 22:12, Žabovřesky, 1.8 °C, 1 °C, 90 %
